epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.483,1.66988,2.68751,1.56533,0.01003,0.83455,0.30005,0.15376,1.57495,3.1353,1.42037,0.00058,0.00058,0.00058
2,617.512,1.58246,2.11586,1.50914,0.35619,0.26654,0.23272,0.11611,1.79145,2.81861,1.66803,0.00116832,0.00116832,0.00116832
3,939.87,1.61019,2.07179,1.52289,0.06722,0.21168,0.035,0.01689,1.94376,4.35629,2.05607,0.00174476,0.00174476,0.00174476
4,1248.1,1.62452,1.9908,1.57287,0.11216,0.21946,0.08031,0.02929,2.00935,9.43216,2.43895,0.0019406,0.0019406,0.0019406
5,1551.09,1.59974,1.99726,1.59719,0.58889,0.42336,0.43951,0.22259,1.77003,3.09285,1.86579,0.0019208,0.0019208,0.0019208
6,1857.49,1.61697,1.85777,1.58538,0.46228,0.42336,0.3909,0.19737,1.80357,2.81182,1.81495,0.001901,0.001901,0.001901
7,2178.28,1.57991,1.73896,1.51708,0.58428,0.38686,0.43178,0.19941,1.83592,2.15355,1.7982,0.0018812,0.0018812,0.0018812
8,2495.97,1.5951,1.73811,1.50716,0.45157,0.37226,0.34594,0.1896,1.75892,2.82087,1.72197,0.0018614,0.0018614,0.0018614
9,2801.55,1.52285,1.64564,1.46909,0.63082,0.49392,0.57816,0.31853,1.6943,1.81115,1.71022,0.0018416,0.0018416,0.0018416
10,3109.86,1.51495,1.56553,1.43568,0.6272,0.49392,0.55478,0.2915,1.65394,1.82573,1.57843,0.0018218,0.0018218,0.0018218
11,3410.65,1.45793,1.52814,1.43202,0.61401,0.58151,0.61384,0.34239,1.58488,1.63369,1.49974,0.001802,0.001802,0.001802
12,3711.92,1.48277,1.53604,1.47811,0.59783,0.60402,0.60646,0.32084,1.70904,1.85526,1.62637,0.0017822,0.0017822,0.0017822
13,4011.55,1.48862,1.5094,1.46466,0.61394,0.50608,0.59207,0.32531,1.61931,1.70808,1.56812,0.0017624,0.0017624,0.0017624
14,4312.89,1.46923,1.48487,1.45739,0.55367,0.53528,0.55805,0.2858,1.64983,1.76589,1.56371,0.0017426,0.0017426,0.0017426
15,4611.98,1.40427,1.4794,1.39915,0.74147,0.53035,0.6626,0.34721,1.62542,1.69704,1.54079,0.0017228,0.0017228,0.0017228
16,4919.72,1.43038,1.44932,1.41842,0.66838,0.50122,0.59623,0.3203,1.66335,1.65545,1.54511,0.001703,0.001703,0.001703
17,5227.33,1.4769,1.41253,1.45685,0.77075,0.57421,0.69413,0.38538,1.57514,1.48403,1.51932,0.0016832,0.0016832,0.0016832
18,5538.03,1.43264,1.41455,1.41085,0.72592,0.63798,0.71815,0.40251,1.5092,1.36497,1.47164,0.0016634,0.0016634,0.0016634
19,5841.84,1.39123,1.32079,1.38511,0.67318,0.56934,0.65018,0.35059,1.56446,1.60645,1.51034,0.0016436,0.0016436,0.0016436
20,6172.2,1.3636,1.31658,1.37102,0.71978,0.57908,0.66134,0.38307,1.53179,1.46136,1.55163,0.0016238,0.0016238,0.0016238
21,6505.25,1.33549,1.30273,1.35284,0.70507,0.62287,0.66879,0.3748,1.57256,1.57287,1.51969,0.001604,0.001604,0.001604
22,6839.35,1.36575,1.28482,1.36922,0.7111,0.68273,0.72396,0.41722,1.52616,1.34381,1.45869,0.0015842,0.0015842,0.0015842
23,7169.13,1.37419,1.31634,1.37556,0.69955,0.57908,0.64047,0.36706,1.49988,1.47074,1.46656,0.0015644,0.0015644,0.0015644
24,7494.62,1.35769,1.25982,1.36763,0.74246,0.61314,0.71671,0.41777,1.43021,1.31506,1.43539,0.0015446,0.0015446,0.0015446
25,7821.91,1.30547,1.22552,1.34116,0.77564,0.63504,0.73427,0.42648,1.50735,1.30122,1.46465,0.0015248,0.0015248,0.0015248
26,8144.23,1.31726,1.2177,1.33581,0.70241,0.6949,0.74431,0.43861,1.47659,1.23793,1.45441,0.001505,0.001505,0.001505
